,word1,word2,POS,result,conc(w1),conc(w2),concQ,Assoc(USF),SimAssoc333,SD(SimLex),bert_cos
33,weird,normal,A,0.72,1.59,1.4,1,0.76,1,1.15,0.8524304032325745
34,weird,odd,A,9.2,1.59,1.7,1,0.75,1,1.27,0.9005301594734192
35,bad,immoral,A,7.62,1.68,1.59,1,0.74,1,0.98,0.67887943983078
36,sad,funny,A,0.95,3.07,2.5,2,0.74,1,1.28,0.8805075287818909
37,wonderful,great,A,8.05,1.82,1.81,1,0.7,1,1.05,0.8854716420173645
38,guilty,ashamed,A,6.38,2.36,1.74,1,0.69,1,0.47,0.7154883146286011
39,beautiful,wonderful,A,6.5,2.16,1.82,1,0.68,1,0.85,0.8894832730293274
40,confident,sure,A,8.27,2.62,1.73,1,0.68,1,1.21,0.8895449638366699
41,dumb,dense,A,7.27,2.36,3.14,2,0.68,1,0.43,0.8410418033599854
42,large,big,A,9.55,3.37,3.66,2,0.68,1,0.44,0.9300076365470886
43,nice,cruel,A,0.67,2.18,2.11,1,0.49,1,1.53,0.8951045274734497
44,impatient,anxious,A,6.03,2.38,1.68,1,0.47,1,1.22,0.9019209146499634
45,big,broad,A,6.73,3.66,2.45,2,0.47,1,1.68,0.880900502204895
46,strong,proud,A,3.17,3.14,2.07,2,0.42,0,1.46,0.9041479825973511
47,unnecessary,necessary,A,0.63,1.56,1.8,1,0.41,0,0.61,0.9050789475440979
48,restless,young,A,1.6,2.46,3.16,2,0.41,0,0.85,0.8368970155715942
49,dumb,intelligent,A,0.75,2.36,2.46,1,0.37,0,1.5,0.832103967666626
50,bad,great,A,0.35,1.68,1.81,1,0.35,0,1.49,0.8405689001083374
51,difficult,simple,A,0.87,2.21,1.62,1,0.34,0,0.44,0.8834773302078247
52,necessary,important,A,7.37,1.8,2.14,1,0.34,0,1.36,0.8568918108940125
53,bad,terrific,A,0.65,1.68,2.07,1,0.28,0,1.43,0.75761878490448
54,mad,glad,A,1.45,2.76,2.36,1,0.28,0,1.17,0.8320975303649902
55,honest,guilty,A,1.18,1.66,2.36,1,0.27,0,1.68,0.6992416381835938
56,easy,tough,A,0.52,2.07,2.5,1,0.27,0,1.87,0.9029996395111084
57,easy,flexible,A,4.1,2.07,2.64,1,0.27,0,1.08,0.8864555358886719
58,certain,sure,A,8.42,1.68,1.73,1,0.23,0,1.29,0.9213579893112183
59,essential,necessary,A,8.97,1.52,1.8,1,0.21,0,1.11,0.7629604935646057
60,different,normal,A,1.08,1.97,1.4,1,0.21,0,1.75,0.8563196659088135
61,sly,clever,A,7.25,2.03,1.79,1,0.21,0,1.41,0.9172804951667786
62,crucial,important,A,8.82,2.08,2.14,1,0.21,0,1.25,0.9609765410423279
63,harsh,cruel,A,8.18,2.23,2.11,1,0.21,0,1.66,0.9468446373939514
64,childish,foolish,A,5.5,2.52,1.84,1,0.21,0,1.45,0.9089447259902954
65,scarce,rare,A,9.17,2.57,1.96,1,0.21,0,1.21,0.9122231006622314
66,friendly,generous,A,5.9,2.32,2.25,1,0.21,0,0.6,0.7406136393547058
67,fragile,frigid,A,2.38,2.86,3.28,2,0.21,0,0.84,0.6335998773574829
68,long,narrow,A,3.57,3.18,3.04,2,0.21,0,1.62,0.7988028526306152
69,big,heavy,A,6.18,3.66,3.37,2,0.21,0,1.54,0.8590666055679321
70,rough,frigid,A,2.47,3.83,3.28,2,0.21,0,1.37,0.6601214408874512
71,bizarre,strange,A,9.37,1.79,1.86,1,0.2,0,1.54,0.9014384150505066
72,illegal,immoral,A,4.28,2.37,1.59,1,0.2,0,1.57,0.7302640676498413
73,bad,guilty,A,4.2,1.68,2.36,1,0.2,0,1.47,0.6881613731384277
74,modern,ancient,A,0.73,2.31,2.04,1,0.2,0,0.71,0.8589212894439697
75,new,ancient,A,0.23,2.81,2.04,1,0.2,0,0.46,0.8128668069839478
76,dull,funny,A,0.55,2.37,2.5,1,0.2,0,1.76,0.8821342587471008
77,happy,young,A,2.0,2.56,3.16,2,0.2,0,0.47,0.7723340392112732
78,easy,big,A,1.12,2.07,3.66,2,0.2,0,1.22,0.8590851426124573
79,great,awful,A,1.17,1.81,1.92,1,0.15,0,1.53,0.8449155688285828
80,tiny,huge,A,0.6,3.11,3.54,2,0.15,0,0.59,0.9349027872085571
81,polite,proper,A,7.63,1.85,1.78,1,0.14,0,1.42,0.8910649418830872
82,modest,ashamed,A,2.65,2.21,1.74,1,0.14,0,1.0,0.8315780758857727
83,exotic,rare,A,8.05,2.11,1.96,1,0.14,0,0.93,0.8749880790710449
84,dumb,clever,A,1.17,2.36,1.79,1,0.14,0,1.3,0.893413782119751
85,delightful,wonderful,A,8.65,2.38,1.82,1,0.14,0,1.29,0.9285997748374939
86,noticeable,obvious,A,8.48,2.29,2.07,1,0.14,0,1.69,0.9263808131217957
87,afraid,anxious,A,5.07,2.7,1.68,1,0.14,0,1.28,0.9075252413749695
88,formal,proper,A,8.02,2.7,1.78,1,0.14,0,1.31,0.9120558500289917
89,dreary,dull,A,8.25,2.33,2.37,1,0.14,0,1.85,0.6088451147079468
90,delightful,cheerful,A,6.58,2.38,2.34,1,0.14,0,1.56,0.8969308137893677
91,unhappy,mad,A,5.95,2.04,2.76,1,0.14,0,1.36,0.8106479048728943
92,sad,terrible,A,5.4,3.07,2.04,1,0.14,0,0.44,0.8611533045768738
93,sick,crazy,A,3.57,2.97,2.37,2,0.14,0,0.95,0.8928744196891785
94,violent,angry,A,6.98,3.1,2.53,2,0.14,0,1.55,0.8206049799919128
95,laden,heavy,A,5.9,2.96,3.37,2,0.14,0,1.28,0.8507336974143982
96,dirty,cheap,A,1.6,4.23,2.11,2,0.14,0,1.1,0.9217706322669983
97,elastic,flexible,A,7.78,3.73,2.64,2,0.14,0,1.09,0.9521095156669617
98,hard,dense,A,5.9,3.76,3.14,2,0.14,0,1.0,0.7944610714912415
99,recent,new,A,7.05,2.5,2.81,2,0.13,0,1.05,0.8087023496627808
100,bold,proud,A,3.97,2.43,2.07,1,0.12,0,1.36,0.7287390828132629
101,sly,strange,A,1.97,2.03,1.86,1,0.0,0,1.07,0.8276290893554688
102,strange,sly,A,2.07,1.86,2.03,1,0.0,0,0.51,0.8276290893554688
103,dumb,rare,A,0.48,2.36,1.96,1,0.0,0,1.55,0.7858029007911682
104,sly,tough,A,0.58,2.03,2.5,1,0.0,0,1.01,0.8523151874542236
105,terrific,mad,A,0.4,2.07,2.76,1,0.0,0,0.86,0.788554310798645
106,modest,flexible,A,0.98,2.21,2.64,1,0.0,0,1.89,0.9146935343742371
107,fresh,wide,A,0.4,1.97,3.06,1,0.0,0,1.41,0.8792783617973328
108,huge,dumb,A,0.48,3.54,2.36,2,0.0,0,0.91,0.891410231590271
109,large,flexible,A,0.48,3.37,2.64,2,0.0,0,1.59,0.8858698606491089
110,dirty,narrow,A,0.3,4.23,3.04,2,0.0,0,0.89,0.8047939538955688
111,wife,husband,N,2.3,4.13,4.11,3,8.85,1,0.84,0.9502875208854675
112,book,text,N,6.35,4.9,4.93,4,8.81,1,1.43,0.7810482382774353
113,groom,bride,N,3.17,4.54,4.63,3,8.65,1,0.68,0.8809164762496948
114,night,day,N,1.88,4.52,3.92,3,8.19,1,1.17,0.8669140338897705
115,south,north,N,2.2,3.84,4.14,3,7.72,1,0.59,0.9447000026702881
116,plane,airport,N,3.65,4.92,4.87,4,7.57,1,1.07,0.7463154196739197
117,uncle,aunt,N,5.5,4.24,4.17,3,7.46,1,1.63,0.9525260925292969
118,horse,mare,N,8.33,5.0,4.75,4,7.4,1,0.73,0.8773330450057983
119,bottom,top,N,0.7,4.25,3.93,3,6.96,1,1.16,0.8422425985336304
120,friend,buddy,N,8.78,3.07,3.48,2,6.87,1,0.93,0.9241763949394226
121,student,pupil,N,9.35,4.92,4.55,3,6.83,1,1.11,0.9143896102905273
122,world,globe,N,6.67,4.36,4.59,3,6.79,1,0.67,0.8370859026908875
123,leg,arm,N,2.88,4.83,4.96,4,6.73,1,0.79,0.8704230785369873
124,plane,jet,N,8.1,4.92,4.77,4,6.62,1,1.24,0.8411223292350769
125,woman,man,N,3.33,4.46,4.79,3,6.6,1,1.42,0.9260299205780029
126,horse,colt,N,7.07,5.0,4.96,4,6.54,1,0.84,0.8303978443145752
127,actress,actor,N,7.12,4.54,4.57,3,5.78,1,1.3,0.9671213030815125
128,teacher,instructor,N,9.25,4.52,4.26,3,5.66,1,1.53,0.8621839284896851
129,movie,film,N,8.87,4.59,4.71,3,5.43,1,1.72,0.9108201265335083
130,bird,hawk,N,7.85,5.0,4.93,4,5.29,1,0.91,0.8933732509613037
131,word,dictionary,N,3.68,3.56,4.62,3,5.2,1,1.56,0.7631531357765198
132,money,salary,N,7.88,4.54,3.69,3,5.16,1,1.11,0.8007431626319885
133,dog,cat,N,1.75,4.85,4.86,4,5.13,1,1.3,0.9008519649505615
134,area,region,N,9.47,3.72,3.19,2,5.12,1,0.58,0.8343226313591003
135,navy,army,N,6.43,3.93,4.7,3,5.0,1,0.53,0.8322599530220032
136,book,literature,N,7.53,4.9,4.1,3,4.86,1,0.45,0.8073675632476807
137,clothes,closet,N,3.27,4.76,4.83,4,4.83,1,1.29,0.8313485383987427
138,sunset,sunrise,N,2.47,4.54,4.69,3,4.8,1,1.12,0.9697691202163696
139,child,adult,N,2.98,4.78,4.4,3,4.59,1,1.48,0.790553629398346
140,cow,cattle,N,9.52,4.96,4.64,4,4.39,1,0.79,0.7738454937934875
141,book,story,N,5.63,4.9,3.3,3,4.19,1,0.78,0.8691586256027222
142,winter,summer,N,2.38,3.84,3.64,3,3.96,1,0.47,0.9043033123016357
143,taxi,cab,N,9.2,4.93,4.88,4,3.86,1,1.23,0.9242884516716003
144,tree,maple,N,5.53,5.0,4.46,3,3.67,1,1.19,0.8208263516426086
145,bed,bedroom,N,3.4,5.0,4.9,4,3.53,1,1.25,0.9209968447685242
146,roof,ceiling,N,7.58,4.79,4.85,4,3.5,1,0.77,0.8601350784301758
147,disease,infection,N,7.15,3.45,4.1,3,3.45,1,1.08,0.9406501650810242
148,arm,shoulder,N,4.85,4.96,4.93,4,3.35,1,1.81,0.8423556089401245
149,sheep,lamb,N,8.42,4.9,4.97,4,3.33,1,1.51,0.836933970451355
150,lady,gentleman,N,3.42,4.33,3.57,3,3.29,1,1.08,0.8791694641113281
151,boat,anchor,N,2.25,4.93,4.77,4,3.25,1,1.1,0.7399700284004211
152,priest,monk,N,6.28,4.77,4.35,3,3.23,1,0.61,0.8656507730484009
153,toe,finger,N,4.68,4.93,5.0,4,3.22,1,0.55,0.8890754580497742
154,river,stream,N,7.3,4.89,4.5,3,3.21,1,0.81,0.9186602830886841
155,anger,fury,N,8.73,2.41,2.89,2,3.06,1,1.89,0.9417132139205933
156,date,calendar,N,4.42,3.9,4.62,3,3.05,1,1.5,0.8385980725288391
157,sea,ocean,N,8.27,4.79,4.86,4,2.91,1,1.3,0.8392102718353271
158,second,minute,N,4.62,3.3,3.04,2,2.84,1,1.15,0.7397194504737854
159,hand,thumb,N,3.88,4.72,4.96,4,2.84,1,0.44,0.8515514731407166
160,wood,log,N,7.3,4.85,4.96,4,2.79,1,0.87,0.8118066191673279
161,mud,dirt,N,7.32,4.86,4.86,4,2.76,1,0.48,0.8726030588150024
162,hallway,corridor,N,9.28,4.74,4.72,3,2.7,1,0.76,0.9393013715744019
163,way,manner,N,7.62,2.34,1.62,1,2.56,1,0.44,0.7970148324966431
164,mouse,cat,N,1.12,4.83,4.86,4,2.56,1,1.02,0.8868774771690369
165,cop,sheriff,N,9.05,4.3,4.5,3,2.54,1,1.55,0.879063606262207
166,death,burial,N,4.93,3.73,3.93,3,2.46,1,1.88,0.8786757588386536
167,music,melody,N,6.98,4.31,3.71,3,2.43,1,1.36,0.7831399440765381
168,beer,alcohol,N,7.5,4.88,4.76,4,2.4,1,1.07,0.8953709602355957
169,mouth,lip,N,7.1,4.74,4.96,4,2.28,1,1.4,0.80536949634552
170,storm,hurricane,N,6.38,4.7,4.59,3,2.27,1,0.9,0.8977808952331543
171,tax,income,N,2.38,3.89,3.07,2,2.25,1,1.15,0.862615168094635
172,flower,violet,N,6.95,5.0,4.48,4,2.22,1,1.72,0.7863629460334778
173,paper,cardboard,N,5.38,4.93,4.9,4,2.2,1,1.22,0.8706521987915039
174,floor,ceiling,N,1.73,4.8,4.85,4,2.18,1,0.97,0.8998582363128662
175,beach,seashore,N,8.33,4.79,4.63,3,2.15,1,0.47,0.7874566316604614
176,rod,curtain,N,3.03,4.43,4.82,3,2.13,1,0.39,0.8565030694007874
177,hound,fox,N,2.38,4.48,4.97,3,2.13,1,1.36,0.7500059604644775
178,street,alley,N,5.48,4.75,4.82,4,2.07,1,1.62,0.8870359063148499
179,boat,deck,N,4.28,4.93,4.77,4,2.04,1,1.39,0.8356969356536865
180,car,horn,N,2.57,4.89,5.0,4,2.04,1,0.79,0.7910071015357971
181,friend,guest,N,4.25,3.07,3.83,2,1.97,1,1.41,0.8358811736106873
182,employer,employee,N,3.65,3.81,4.1,3,1.96,1,0.95,0.8999683260917664
183,hand,wrist,N,3.97,4.72,4.93,4,1.96,1,1.32,0.831553041934967
184,ball,cannon,N,2.58,5.0,4.79,4,1.96,1,1.82,0.8738434910774231
185,alcohol,brandy,N,6.98,4.76,4.81,4,1.93,1,0.57,0.893791675567627
186,victory,triumph,N,8.98,2.55,2.17,1,1.9,1,0.94,0.8905881643295288
187,telephone,booth,N,3.63,4.96,4.42,3,1.88,1,1.1,0.7309823036193848
188,door,doorway,N,5.4,4.81,4.75,4,1.88,1,1.86,0.926203191280365
189,motel,inn,N,8.17,4.93,4.64,4,1.86,1,0.39,0.8576033115386963
190,clothes,cloth,N,5.47,4.76,4.9,4,1.82,1,1.43,0.9003723859786987
191,steak,meat,N,7.47,4.96,4.9,4,1.81,1,1.34,0.9356083273887634
192,nail,thumb,N,3.55,4.93,4.96,4,1.76,1,1.16,0.8218759298324585
193,band,orchestra,N,7.08,4.68,4.79,4,1.75,1,1.36,0.8093841671943665
194,book,bible,N,5.0,4.9,4.61,4,1.74,1,1.43,0.8313690423965454
195,business,industry,N,7.02,3.28,3.29,2,1.73,1,1.1,0.8444852232933044
196,winter,season,N,6.27,3.84,3.32,2,1.71,1,1.76,0.7963206171989441
197,decade,century,N,3.48,3.19,2.83,2,1.64,1,1.36,0.8921360969543457
198,alcohol,gin,N,8.65,4.76,4.46,3,1.64,1,1.17,0.8025311827659607
199,hat,coat,N,2.67,4.88,4.97,4,1.62,1,1.76,0.8638052344322205
200,window,door,N,3.33,4.86,4.81,4,1.56,1,1.6,0.9091212749481201
201,arm,wrist,N,3.57,4.96,4.93,4,1.55,1,1.33,0.8549942970275879
202,house,apartment,N,5.8,5.0,4.9,4,1.54,1,1.4,0.8637672066688538
203,glass,crystal,N,6.27,4.82,4.58,3,1.52,1,1.48,0.9046033024787903
204,wine,brandy,N,5.15,4.79,4.81,4,1.52,1,1.67,0.9127813577651978
205,creator,maker,N,9.62,3.07,3.9,2,1.51,1,1.4,0.87311190366745
206,dinner,breakfast,N,3.33,4.5,4.43,3,1.49,1,1.72,0.9696145057678223
207,arm,muscle,N,3.72,4.96,4.5,3,1.45,1,0.83,0.8205760717391968
208,bubble,suds,N,8.57,4.6,4.59,3,1.42,1,1.59,0.6086930632591248
209,bread,flour,N,3.33,4.92,4.97,4,1.42,1,1.25,0.8841085433959961
210,death,tragedy,N,5.8,3.73,2.07,2,1.41,1,1.13,0.9028251767158508
211,absence,presence,N,0.4,2.31,2.72,1,1.38,1,1.5,0.9523005485534668
212,gun,cannon,N,5.68,4.83,4.79,4,1.35,1,1.56,0.8769845962524414
213,grass,blade,N,4.57,4.93,4.93,4,1.34,1,1.53,0.7060039043426514
214,ball,basket,N,1.67,5.0,5.0,4,1.33,1,1.08,0.9094429612159729
215,hose,garden,N,1.67,4.87,4.73,4,1.32,1,1.1,0.7961980104446411
216,boy,kid,N,7.5,4.76,4.56,3,1.28,1,1.44,0.9196144938468933
217,church,choir,N,2.95,4.9,4.34,3,1.27,1,1.43,0.8391172289848328
218,clothes,drawer,N,3.02,4.76,4.67,3,1.27,1,1.49,0.869665801525116
219,tower,bell,N,1.9,4.76,4.96,4,1.22,1,1.41,0.8346772789955139
220,father,parent,N,7.07,4.52,4.56,3,1.19,1,1.06,0.9047210812568665
221,school,grade,N,4.42,4.79,3.0,3,1.18,1,1.32,0.810632050037384
222,parent,adult,N,5.37,4.56,4.4,3,1.15,1,1.6,0.7609651684761047
223,bar,jail,N,1.9,4.67,4.83,4,1.15,1,1.12,0.7977946400642395
224,car,highway,N,3.4,4.89,4.72,4,1.15,1,1.77,0.8316653966903687
225,dictionary,definition,N,6.25,4.62,3.07,3,1.14,1,1.06,0.8077135682106018
226,door,cellar,N,1.97,4.81,4.68,4,1.13,1,1.47,0.8499107956886292
227,army,legion,N,5.95,4.7,2.69,2,1.11,1,1.29,0.7586211562156677
228,metal,aluminum,N,7.25,4.87,4.88,4,1.1,1,1.76,0.8488578796386719
229,chair,bench,N,6.67,4.58,4.87,3,1.09,1,1.22,0.8905494809150696
230,cloud,fog,N,6.0,4.54,4.66,3,1.05,1,1.04,0.9178716540336609
231,boy,son,N,6.75,4.76,4.14,3,1.03,1,0.88,0.8510929346084595
232,water,ice,N,6.47,5.0,4.89,4,1.03,1,1.66,0.8986029028892517
233,bed,blanket,N,3.02,5.0,5.0,4,1.02,1,1.48,0.8851101994514465
234,attorney,lawyer,N,9.35,4.52,4.7,3,1.01,1,1.4,0.9116368293762207
235,area,zone,N,8.33,3.72,3.07,2,0.97,1,0.89,0.893773078918457
236,business,company,N,9.02,3.28,4.11,3,0.97,1,0.47,0.8284105062484741
237,clothes,fabric,N,5.87,4.76,4.63,3,0.96,1,1.66,0.8817859292030334
238,sweater,jacket,N,7.15,4.78,4.86,4,0.96,1,1.13,0.9193391799926758
239,money,capital,N,6.67,4.54,4.1,3,0.95,1,0.97,0.7849461436271667
240,hand,foot,N,4.17,4.72,4.9,4,0.95,1,1.41,0.846533477306366
241,alcohol,cocktail,N,6.73,4.76,4.4,3,0.93,1,1.2,0.8827750086784363
242,yard,inch,N,3.78,4.82,4.37,3,0.93,1,1.4,0.8271316885948181
243,molecule,atom,N,6.45,3.27,3.34,2,0.92,1,1.56,0.9327467083930969
244,lens,camera,N,4.28,4.64,5.0,4,0.9,1,1.89,0.8340209126472473
245,meal,dinner,N,7.15,4.62,4.5,3,0.88,1,2.0,0.8933187127113342
246,eye,tear,N,3.55,4.9,4.56,3,0.88,1,1.48,0.8701903820037842
247,god,devil,N,1.8,2.07,3.41,2,0.87,1,1.1,0.8527860045433044
248,loop,belt,N,3.1,4.26,4.9,3,0.87,1,1.74,0.8743454813957214
249,rat,mouse,N,7.78,4.85,4.83,4,0.87,1,0.93,0.9042708873748779
250,motor,engine,N,8.65,4.84,4.86,4,0.87,1,1.47,0.9180601239204407
251,car,cab,N,7.42,4.89,4.88,4,0.87,1,1.15,0.835655689239502
252,cat,lion,N,6.75,4.86,4.96,4,0.85,1,0.84,0.9089474081993103
253,size,magnitude,N,6.33,3.13,2.43,2,0.84,1,0.59,0.916786789894104
254,reality,fantasy,N,1.03,1.72,1.59,1,0.83,1,0.89,0.871695339679718
255,door,gate,N,5.25,4.81,4.96,4,0.83,1,1.47,0.9132421612739563
256,cat,pet,N,5.95,4.86,4.71,4,0.82,1,1.41,0.8984142541885376
257,tin,aluminum,N,6.42,4.87,4.88,4,0.82,1,1.3,0.7589659094810486
258,bone,jaw,N,4.17,4.9,4.87,4,0.82,1,0.44,0.90882408618927
259,cereal,wheat,N,3.75,4.83,4.89,4,0.81,1,1.72,0.8757763504981995
260,house,key,N,1.9,5.0,4.89,4,0.8,1,1.09,0.6885647773742676
261,blood,flesh,N,4.28,4.86,4.59,3,0.79,1,1.74,0.813261091709137
262,door,corridor,N,3.73,4.81,4.72,4,0.79,1,1.11,0.8556450605392456
263,god,spirit,N,7.3,2.07,1.6,1,0.77,1,1.63,0.7301278710365295
264,capability,competence,N,7.62,1.93,1.78,1,0.77,1,0.84,0.9367727041244507
265,abundance,plenty,N,8.97,2.21,2.39,1,0.77,1,1.02,0.8645733594894409
266,sofa,chair,N,6.67,4.9,4.58,4,0.77,1,1.56,0.9024841785430908
267,wall,brick,N,4.68,4.86,4.83,4,0.77,1,1.16,0.8294076323509216
268,horn,drum,N,2.68,5.0,4.96,4,0.77,1,0.47,0.7849992513656616
269,organ,liver,N,6.15,4.77,4.68,3,0.76,1,1.12,0.7587635517120361
270,strength,might,N,7.07,2.96,2.32,2,0.74,1,0.8,0.8071811199188232
271,phrase,word,N,5.48,2.86,3.56,2,0.74,1,1.73,0.9104742407798767
272,band,parade,N,3.92,4.68,4.54,3,0.74,1,1.74,0.8421491980552673
273,stomach,waist,N,5.9,4.89,4.72,4,0.74,1,1.49,0.8632551431655884
274,cloud,storm,N,5.6,4.54,4.7,3,0.73,1,1.47,0.9060131311416626
275,joy,pride,N,5.0,2.37,1.66,1,0.72,1,0.9,0.8710508346557617
276,noise,rattle,N,6.17,3.52,4.07,3,0.72,1,1.33,0.8482495546340942
277,rain,mist,N,5.97,4.97,4.51,4,0.71,1,1.83,0.8280823230743408
278,beer,beverage,N,5.42,4.88,4.6,4,0.71,1,1.34,0.8855255842208862
279,man,uncle,N,3.92,4.79,4.24,3,0.7,1,1.36,0.8537323474884033
280,apple,juice,N,2.88,5.0,4.89,4,0.7,1,1.65,0.877477765083313
281,intelligence,logic,N,6.5,2.24,1.72,1,0.68,1,1.2,0.8145735263824463
282,communication,language,N,7.47,2.9,2.35,2,0.68,1,1.09,0.8376299142837524
283,mink,fur,N,6.83,4.58,4.69,3,0.68,1,0.39,0.7758172750473022
284,mob,crowd,N,7.85,3.88,4.52,3,0.67,1,1.2,0.9054725766181946
285,shore,coast,N,8.83,4.79,4.21,3,0.67,1,1.53,0.796613335609436
286,wire,cord,N,7.62,4.72,4.63,3,0.67,1,1.35,0.8397667407989502
287,bird,turkey,N,6.58,5.0,4.89,4,0.67,1,1.6,0.7370460629463196
288,bed,crib,N,7.3,5.0,4.86,4,0.65,1,1.56,0.6930710673332214
289,competence,ability,N,7.5,1.78,1.81,1,0.63,1,0.6,0.9245966672897339
290,cloud,haze,N,7.32,4.54,4.04,3,0.63,1,1.68,0.9194568991661072
291,supper,meal,N,7.53,4.63,4.62,3,0.63,1,0.47,0.7912683486938477
292,bar,cage,N,2.8,4.67,5.0,4,0.63,1,0.51,0.7885898351669312
293,water,salt,N,1.3,5.0,4.89,4,0.63,1,0.94,0.8581765294075012
294,sense,intuition,N,7.68,2.61,1.67,1,0.62,1,1.24,0.8563384413719177
295,situation,condition,N,6.58,2.03,2.15,1,0.61,1,1.41,0.8694065809249878
296,crime,theft,N,7.53,3.03,2.93,2,0.61,1,1.32,0.9032391309738159
297,style,fashion,N,8.5,2.67,3.43,2,0.61,1,0.87,0.9220187664031982
298,boundary,border,N,9.08,3.04,4.29,2,0.61,1,0.44,0.8077254295349121
299,arm,body,N,4.05,4.96,4.79,4,0.61,1,0.51,0.865609884262085
300,boat,car,N,2.37,4.93,4.89,4,0.61,1,1.17,0.8690916299819946
301,sandwich,lunch,N,6.3,4.9,4.31,3,0.58,1,1.53,0.8158918023109436
302,bride,princess,N,2.8,4.63,4.72,3,0.58,1,0.92,0.9102882146835327
303,heroine,hero,N,8.78,4.21,3.07,2,0.56,1,1.79,0.9152545928955078
304,car,gauge,N,1.13,4.89,4.0,3,0.56,1,1.47,0.7820173501968384
305,insect,bee,N,6.07,4.89,4.88,4,0.55,1,1.34,0.8134829998016357
306,crib,cradle,N,8.55,4.86,4.93,4,0.55,1,1.15,0.6166085600852966
307,animal,person,N,3.05,4.61,4.72,3,0.54,1,1.38,0.8296796679496765
308,marijuana,herb,N,6.5,4.89,4.57,3,0.54,1,0.59,0.8375154733657837
309,bed,hospital,N,0.92,5.0,4.64,4,0.54,1,1.35,0.8270775675773621
310,cheek,tongue,N,4.52,4.83,4.93,4,0.54,1,0.47,0.8681192994117737
311,disc,computer,N,3.2,4.85,4.93,4,0.54,1,0.44,0.7503001093864441
312,curve,angle,N,3.33,4.41,3.5,3,0.53,1,1.51,0.8571932315826416
313,grass,moss,N,5.0,4.93,4.9,4,0.53,1,1.27,0.724237322807312
314,school,law,N,1.13,4.79,2.57,2,0.52,1,1.49,0.716735303401947
315,foot,head,N,2.3,4.9,4.75,4,0.52,1,0.62,0.8922728896141052
316,mother,guardian,N,6.5,4.6,3.28,3,0.51,1,1.13,0.8549306988716125
317,orthodontist,dentist,N,8.27,4.43,4.93,3,0.51,1,1.47,0.474915087223053
318,alcohol,whiskey,N,7.27,4.76,4.74,4,0.51,1,1.19,0.9220972657203674
319,mouth,tooth,N,6.3,4.74,4.89,4,0.51,1,1.39,0.7804693579673767
