,word1,word2,result,bert_cos
334,experience,music,3.47,0.5500022172927856
335,music,project,3.63,0.6565672159194946
336,glass,metal,5.56,0.8451268076896667
337,aluminum,metal,7.83,0.7830210328102112
338,chance,credibility,3.88,0.7481386065483093
339,exhibit,memorabilia,5.31,0.5851878523826599
340,concert,virtuoso,6.81,0.30308064818382263
341,rock,jazz,7.59,0.6508249640464783
342,museum,theater,7.19,0.742432713508606
343,observation,architecture,4.38,0.7028492093086243
344,space,world,6.53,0.7497934699058533
345,preservation,world,6.19,0.625690221786499
346,admission,ticket,7.69,0.7530667185783386
347,shower,thunderstorm,6.31,0.3023410737514496
348,shower,flood,6.03,0.571685791015625
349,weather,forecast,8.34,0.7336844205856323
350,disaster,area,6.25,0.670982837677002
351,governor,office,6.34,0.6492911577224731
352,architecture,century,3.78,0.5388461947441101
