,word1,word2,POS,result,conc(w1),conc(w2),concQ,Assoc(USF),SimAssoc333,SD(SimLex),bert_cos
40,confident,sure,A,8.27,2.62,1.73,1,0.68,1,1.21,0.7859929800033569
41,dumb,dense,A,7.27,2.36,3.14,2,0.68,1,0.43,0.725322961807251
42,large,big,A,9.55,3.37,3.66,2,0.68,1,0.44,0.8990607261657715
43,nice,cruel,A,0.67,2.18,2.11,1,0.49,1,1.53,0.7981921434402466
44,impatient,anxious,A,6.03,2.38,1.68,1,0.47,1,1.22,0.812709629535675
45,big,broad,A,6.73,3.66,2.45,2,0.47,1,1.68,0.7843631505966187
46,strong,proud,A,3.17,3.14,2.07,2,0.42,0,1.46,0.8170909285545349
47,unnecessary,necessary,A,0.63,1.56,1.8,1,0.41,0,0.61,0.8634830713272095
48,restless,young,A,1.6,2.46,3.16,2,0.41,0,0.85,0.6613346338272095
49,dumb,intelligent,A,0.75,2.36,2.46,1,0.37,0,1.5,0.7342832088470459
50,bad,great,A,0.35,1.68,1.81,1,0.35,0,1.49,0.7239009737968445
51,difficult,simple,A,0.87,2.21,1.62,1,0.34,0,0.44,0.7951809763908386
52,necessary,important,A,7.37,1.8,2.14,1,0.34,0,1.36,0.7870115637779236
53,bad,terrific,A,0.65,1.68,2.07,1,0.28,0,1.43,0.6353142261505127
54,mad,glad,A,1.45,2.76,2.36,1,0.28,0,1.17,0.6988861560821533
55,honest,guilty,A,1.18,1.66,2.36,1,0.27,0,1.68,0.5450799465179443
56,easy,tough,A,0.52,2.07,2.5,1,0.27,0,1.87,0.8463395833969116
57,easy,flexible,A,4.1,2.07,2.64,1,0.27,0,1.08,0.7900781035423279
58,certain,sure,A,8.42,1.68,1.73,1,0.23,0,1.29,0.8569025993347168
59,essential,necessary,A,8.97,1.52,1.8,1,0.21,0,1.11,0.6458048224449158
60,different,normal,A,1.08,1.97,1.4,1,0.21,0,1.75,0.7245447635650635
61,sly,clever,A,7.25,2.03,1.79,1,0.21,0,1.41,0.8439738154411316
62,crucial,important,A,8.82,2.08,2.14,1,0.21,0,1.25,0.9093198776245117
63,harsh,cruel,A,8.18,2.23,2.11,1,0.21,0,1.66,0.8846467733383179
64,childish,foolish,A,5.5,2.52,1.84,1,0.21,0,1.45,0.8370620012283325
65,scarce,rare,A,9.17,2.57,1.96,1,0.21,0,1.21,0.8362619280815125
66,friendly,generous,A,5.9,2.32,2.25,1,0.21,0,0.6,0.6425498723983765
67,fragile,frigid,A,2.38,2.86,3.28,2,0.21,0,0.84,0.29715800285339355
68,long,narrow,A,3.57,3.18,3.04,2,0.21,0,1.62,0.6862620115280151
69,big,heavy,A,6.18,3.66,3.37,2,0.21,0,1.54,0.77829509973526
70,rough,frigid,A,2.47,3.83,3.28,2,0.21,0,1.37,0.23544517159461975
71,bizarre,strange,A,9.37,1.79,1.86,1,0.2,0,1.54,0.8375856280326843
72,illegal,immoral,A,4.28,2.37,1.59,1,0.2,0,1.57,0.4562985301017761
73,bad,guilty,A,4.2,1.68,2.36,1,0.2,0,1.47,0.5615295767784119
74,modern,ancient,A,0.73,2.31,2.04,1,0.2,0,0.71,0.740471363067627
75,new,ancient,A,0.23,2.81,2.04,1,0.2,0,0.46,0.6595327258110046
76,dull,funny,A,0.55,2.37,2.5,1,0.2,0,1.76,0.7542318105697632
77,happy,young,A,2.0,2.56,3.16,2,0.2,0,0.47,0.5714934468269348
78,easy,big,A,1.12,2.07,3.66,2,0.2,0,1.22,0.7689589262008667
79,great,awful,A,1.17,1.81,1.92,1,0.15,0,1.53,0.7399886846542358
80,tiny,huge,A,0.6,3.11,3.54,2,0.15,0,0.59,0.8769915699958801
81,polite,proper,A,7.63,1.85,1.78,1,0.14,0,1.42,0.8233314156532288
82,modest,ashamed,A,2.65,2.21,1.74,1,0.14,0,1.0,0.7269201874732971
83,exotic,rare,A,8.05,2.11,1.96,1,0.14,0,0.93,0.7827628254890442
84,dumb,clever,A,1.17,2.36,1.79,1,0.14,0,1.3,0.8103358149528503
85,delightful,wonderful,A,8.65,2.38,1.82,1,0.14,0,1.29,0.8733365535736084
86,noticeable,obvious,A,8.48,2.29,2.07,1,0.14,0,1.69,0.8867612481117249
87,afraid,anxious,A,5.07,2.7,1.68,1,0.14,0,1.28,0.8303149342536926
88,formal,proper,A,8.02,2.7,1.78,1,0.14,0,1.31,0.8049271106719971
89,dreary,dull,A,8.25,2.33,2.37,1,0.14,0,1.85,0.34790390729904175
90,delightful,cheerful,A,6.58,2.38,2.34,1,0.14,0,1.56,0.7791159152984619
91,unhappy,mad,A,5.95,2.04,2.76,1,0.14,0,1.36,0.6777617931365967
92,sad,terrible,A,5.4,3.07,2.04,1,0.14,0,0.44,0.7572304606437683
93,sick,crazy,A,3.57,2.97,2.37,2,0.14,0,0.95,0.8117079734802246
94,violent,angry,A,6.98,3.1,2.53,2,0.14,0,1.55,0.7484973073005676
95,laden,heavy,A,5.9,2.96,3.37,2,0.14,0,1.28,0.7213155031204224
96,dirty,cheap,A,1.6,4.23,2.11,2,0.14,0,1.1,0.8411726951599121
97,elastic,flexible,A,7.78,3.73,2.64,2,0.14,0,1.09,0.8883229494094849
98,hard,dense,A,5.9,3.76,3.14,2,0.14,0,1.0,0.6944612264633179
99,recent,new,A,7.05,2.5,2.81,2,0.13,0,1.05,0.6942251920700073
100,bold,proud,A,3.97,2.43,2.07,1,0.12,0,1.36,0.5283348560333252
101,sly,strange,A,1.97,2.03,1.86,1,0.0,0,1.07,0.6875854730606079
102,strange,sly,A,2.07,1.86,2.03,1,0.0,0,0.51,0.6875854730606079
103,dumb,rare,A,0.48,2.36,1.96,1,0.0,0,1.55,0.6573151350021362
104,sly,tough,A,0.58,2.03,2.5,1,0.0,0,1.01,0.7344361543655396
105,terrific,mad,A,0.4,2.07,2.76,1,0.0,0,0.86,0.6594810485839844
106,modest,flexible,A,0.98,2.21,2.64,1,0.0,0,1.89,0.8334227800369263
107,fresh,wide,A,0.4,1.97,3.06,1,0.0,0,1.41,0.7724407315254211
108,huge,dumb,A,0.48,3.54,2.36,2,0.0,0,0.91,0.7892744541168213
109,large,flexible,A,0.48,3.37,2.64,2,0.0,0,1.59,0.7863591909408569
110,dirty,narrow,A,0.3,4.23,3.04,2,0.0,0,0.89,0.6689845323562622
111,wife,husband,N,2.3,4.13,4.11,3,8.85,1,0.84,0.9035829901695251
112,book,text,N,6.35,4.9,4.93,4,8.81,1,1.43,0.5907998085021973
113,groom,bride,N,3.17,4.54,4.63,3,8.65,1,0.68,0.7984220385551453
114,night,day,N,1.88,4.52,3.92,3,8.19,1,1.17,0.7314245700836182
115,south,north,N,2.2,3.84,4.14,3,7.72,1,0.59,0.884198009967804
116,plane,airport,N,3.65,4.92,4.87,4,7.57,1,1.07,0.6335604786872864
117,uncle,aunt,N,5.5,4.24,4.17,3,7.46,1,1.63,0.9175649285316467
118,horse,mare,N,8.33,5.0,4.75,4,7.4,1,0.73,0.7636058330535889
119,bottom,top,N,0.7,4.25,3.93,3,6.96,1,1.16,0.7273479700088501
120,friend,buddy,N,8.78,3.07,3.48,2,6.87,1,0.93,0.8472756743431091
121,student,pupil,N,9.35,4.92,4.55,3,6.83,1,1.11,0.83566814661026
122,world,globe,N,6.67,4.36,4.59,3,6.79,1,0.67,0.6950060129165649
123,leg,arm,N,2.88,4.83,4.96,4,6.73,1,0.79,0.7821902632713318
124,plane,jet,N,8.1,4.92,4.77,4,6.62,1,1.24,0.7220137119293213
125,woman,man,N,3.33,4.46,4.79,3,6.6,1,1.42,0.8857636451721191
126,horse,colt,N,7.07,5.0,4.96,4,6.54,1,0.84,0.7071895599365234
127,actress,actor,N,7.12,4.54,4.57,3,5.78,1,1.3,0.9020209312438965
128,teacher,instructor,N,9.25,4.52,4.26,3,5.66,1,1.53,0.7688599228858948
129,movie,film,N,8.87,4.59,4.71,3,5.43,1,1.72,0.8470535278320312
130,bird,hawk,N,7.85,5.0,4.93,4,5.29,1,0.91,0.8096673488616943
131,word,dictionary,N,3.68,3.56,4.62,3,5.2,1,1.56,0.5817574858665466
132,money,salary,N,7.88,4.54,3.69,3,5.16,1,1.11,0.7246237993240356
133,dog,cat,N,1.75,4.85,4.86,4,5.13,1,1.3,0.8143993020057678
134,area,region,N,9.47,3.72,3.19,2,5.12,1,0.58,0.7019977569580078
135,navy,army,N,6.43,3.93,4.7,3,5.0,1,0.53,0.7428107857704163
136,book,literature,N,7.53,4.9,4.1,3,4.86,1,0.45,0.6618459224700928
137,clothes,closet,N,3.27,4.76,4.83,4,4.83,1,1.29,0.6961123943328857
138,sunset,sunrise,N,2.47,4.54,4.69,3,4.8,1,1.12,0.9284818172454834
139,child,adult,N,2.98,4.78,4.4,3,4.59,1,1.48,0.6032921671867371
140,cow,cattle,N,9.52,4.96,4.64,4,4.39,1,0.79,0.6558240056037903
141,book,story,N,5.63,4.9,3.3,3,4.19,1,0.78,0.7186498641967773
142,winter,summer,N,2.38,3.84,3.64,3,3.96,1,0.47,0.8338426947593689
143,taxi,cab,N,9.2,4.93,4.88,4,3.86,1,1.23,0.8481488823890686
144,tree,maple,N,5.53,5.0,4.46,3,3.67,1,1.19,0.6844772100448608
145,bed,bedroom,N,3.4,5.0,4.9,4,3.53,1,1.25,0.8412754535675049
146,roof,ceiling,N,7.58,4.79,4.85,4,3.5,1,0.77,0.7743639945983887
147,disease,infection,N,7.15,3.45,4.1,3,3.45,1,1.08,0.8814513087272644
148,arm,shoulder,N,4.85,4.96,4.93,4,3.35,1,1.81,0.7303264141082764
149,sheep,lamb,N,8.42,4.9,4.97,4,3.33,1,1.51,0.7709678411483765
150,lady,gentleman,N,3.42,4.33,3.57,3,3.29,1,1.08,0.7643348574638367
151,boat,anchor,N,2.25,4.93,4.77,4,3.25,1,1.1,0.5688888430595398
152,priest,monk,N,6.28,4.77,4.35,3,3.23,1,0.61,0.7161651253700256
153,toe,finger,N,4.68,4.93,5.0,4,3.22,1,0.55,0.7979792952537537
154,river,stream,N,7.3,4.89,4.5,3,3.21,1,0.81,0.8217492699623108
155,anger,fury,N,8.73,2.41,2.89,2,3.06,1,1.89,0.8802460432052612
156,date,calendar,N,4.42,3.9,4.62,3,3.05,1,1.5,0.6995353698730469
157,sea,ocean,N,8.27,4.79,4.86,4,2.91,1,1.3,0.7668793201446533
158,second,minute,N,4.62,3.3,3.04,2,2.84,1,1.15,0.5976073741912842
159,hand,thumb,N,3.88,4.72,4.96,4,2.84,1,0.44,0.7635804414749146
160,wood,log,N,7.3,4.85,4.96,4,2.79,1,0.87,0.6360251903533936
161,mud,dirt,N,7.32,4.86,4.86,4,2.76,1,0.48,0.7671166062355042
162,hallway,corridor,N,9.28,4.74,4.72,3,2.7,1,0.76,0.8949465751647949
163,way,manner,N,7.62,2.34,1.62,1,2.56,1,0.44,0.6204527020454407
164,mouse,cat,N,1.12,4.83,4.86,4,2.56,1,1.02,0.7752784490585327
165,cop,sheriff,N,9.05,4.3,4.5,3,2.54,1,1.55,0.7897898554801941
166,death,burial,N,4.93,3.73,3.93,3,2.46,1,1.88,0.7685955762863159
167,music,melody,N,6.98,4.31,3.71,3,2.43,1,1.36,0.6271072626113892
168,beer,alcohol,N,7.5,4.88,4.76,4,2.4,1,1.07,0.8306202292442322
169,mouth,lip,N,7.1,4.74,4.96,4,2.28,1,1.4,0.620266318321228
170,storm,hurricane,N,6.38,4.7,4.59,3,2.27,1,0.9,0.8257628083229065
171,tax,income,N,2.38,3.89,3.07,2,2.25,1,1.15,0.7792797684669495
172,flower,violet,N,6.95,5.0,4.48,4,2.22,1,1.72,0.6036773920059204
173,paper,cardboard,N,5.38,4.93,4.9,4,2.2,1,1.22,0.7703456282615662
174,floor,ceiling,N,1.73,4.8,4.85,4,2.18,1,0.97,0.7915179133415222
175,beach,seashore,N,8.33,4.79,4.63,3,2.15,1,0.47,0.4893072545528412
176,rod,curtain,N,3.03,4.43,4.82,3,2.13,1,0.39,0.6908327341079712
177,hound,fox,N,2.38,4.48,4.97,3,2.13,1,1.36,0.5484849214553833
178,street,alley,N,5.48,4.75,4.82,4,2.07,1,1.62,0.8170796036720276
179,boat,deck,N,4.28,4.93,4.77,4,2.04,1,1.39,0.6669213175773621
180,car,horn,N,2.57,4.89,5.0,4,2.04,1,0.79,0.5822021961212158
181,friend,guest,N,4.25,3.07,3.83,2,1.97,1,1.41,0.7017382383346558
182,employer,employee,N,3.65,3.81,4.1,3,1.96,1,0.95,0.8206107020378113
183,hand,wrist,N,3.97,4.72,4.93,4,1.96,1,1.32,0.767655611038208
184,ball,cannon,N,2.58,5.0,4.79,4,1.96,1,1.82,0.7227404713630676
185,alcohol,brandy,N,6.98,4.76,4.81,4,1.93,1,0.57,0.7984172105789185
186,victory,triumph,N,8.98,2.55,2.17,1,1.9,1,0.94,0.7929022312164307
187,telephone,booth,N,3.63,4.96,4.42,3,1.88,1,1.1,0.580914318561554
188,door,doorway,N,5.4,4.81,4.75,4,1.88,1,1.86,0.8419721722602844
189,motel,inn,N,8.17,4.93,4.64,4,1.86,1,0.39,0.7495765089988708
190,clothes,cloth,N,5.47,4.76,4.9,4,1.82,1,1.43,0.7958835363388062
191,steak,meat,N,7.47,4.96,4.9,4,1.81,1,1.34,0.8877387642860413
192,nail,thumb,N,3.55,4.93,4.96,4,1.76,1,1.16,0.707200825214386
193,band,orchestra,N,7.08,4.68,4.79,4,1.75,1,1.36,0.6992882490158081
194,book,bible,N,5.0,4.9,4.61,4,1.74,1,1.43,0.63612961769104
195,business,industry,N,7.02,3.28,3.29,2,1.73,1,1.1,0.773577868938446
196,winter,season,N,6.27,3.84,3.32,2,1.71,1,1.76,0.646090030670166
197,decade,century,N,3.48,3.19,2.83,2,1.64,1,1.36,0.7989369034767151
198,alcohol,gin,N,8.65,4.76,4.46,3,1.64,1,1.17,0.6610480546951294
199,hat,coat,N,2.67,4.88,4.97,4,1.62,1,1.76,0.7727335691452026
200,window,door,N,3.33,4.86,4.81,4,1.56,1,1.6,0.7985658645629883
201,arm,wrist,N,3.57,4.96,4.93,4,1.55,1,1.33,0.7648507952690125
202,house,apartment,N,5.8,5.0,4.9,4,1.54,1,1.4,0.7561143040657043
203,glass,crystal,N,6.27,4.82,4.58,3,1.52,1,1.48,0.7837072610855103
204,wine,brandy,N,5.15,4.79,4.81,4,1.52,1,1.67,0.826794445514679
205,creator,maker,N,9.62,3.07,3.9,2,1.51,1,1.4,0.7529948949813843
206,dinner,breakfast,N,3.33,4.5,4.43,3,1.49,1,1.72,0.9299211502075195
207,arm,muscle,N,3.72,4.96,4.5,3,1.45,1,0.83,0.661482036113739
208,bubble,suds,N,8.57,4.6,4.59,3,1.42,1,1.59,0.26023659110069275
209,bread,flour,N,3.33,4.92,4.97,4,1.42,1,1.25,0.8362444639205933
210,death,tragedy,N,5.8,3.73,2.07,2,1.41,1,1.13,0.7872509360313416
211,absence,presence,N,0.4,2.31,2.72,1,1.38,1,1.5,0.9335601925849915
212,gun,cannon,N,5.68,4.83,4.79,4,1.35,1,1.56,0.7856059074401855
213,grass,blade,N,4.57,4.93,4.93,4,1.34,1,1.53,0.6783670783042908
214,ball,basket,N,1.67,5.0,5.0,4,1.33,1,1.08,0.7693737745285034
215,hose,garden,N,1.67,4.87,4.73,4,1.32,1,1.1,0.698230504989624
216,boy,kid,N,7.5,4.76,4.56,3,1.28,1,1.44,0.8288555145263672
217,church,choir,N,2.95,4.9,4.34,3,1.27,1,1.43,0.6844415664672852
218,clothes,drawer,N,3.02,4.76,4.67,3,1.27,1,1.49,0.7388190627098083
219,tower,bell,N,1.9,4.76,4.96,4,1.22,1,1.41,0.6551697254180908
220,father,parent,N,7.07,4.52,4.56,3,1.19,1,1.06,0.8374205827713013
221,school,grade,N,4.42,4.79,3.0,3,1.18,1,1.32,0.6556751132011414
222,parent,adult,N,5.37,4.56,4.4,3,1.15,1,1.6,0.6311474442481995
223,bar,jail,N,1.9,4.67,4.83,4,1.15,1,1.12,0.6631392240524292
224,car,highway,N,3.4,4.89,4.72,4,1.15,1,1.77,0.6684983968734741
225,dictionary,definition,N,6.25,4.62,3.07,3,1.14,1,1.06,0.6497500538825989
226,door,cellar,N,1.97,4.81,4.68,4,1.13,1,1.47,0.7222484350204468
227,army,legion,N,5.95,4.7,2.69,2,1.11,1,1.29,0.6866616010665894
228,metal,aluminum,N,7.25,4.87,4.88,4,1.1,1,1.76,0.7830210328102112
229,chair,bench,N,6.67,4.58,4.87,3,1.09,1,1.22,0.8091959953308105
230,cloud,fog,N,6.0,4.54,4.66,3,1.05,1,1.04,0.827049732208252
231,boy,son,N,6.75,4.76,4.14,3,1.03,1,0.88,0.729003369808197
232,water,ice,N,6.47,5.0,4.89,4,1.03,1,1.66,0.7514190077781677
233,bed,blanket,N,3.02,5.0,5.0,4,1.02,1,1.48,0.7754783630371094
234,attorney,lawyer,N,9.35,4.52,4.7,3,1.01,1,1.4,0.8729382157325745
235,area,zone,N,8.33,3.72,3.07,2,0.97,1,0.89,0.7765709161758423
236,business,company,N,9.02,3.28,4.11,3,0.97,1,0.47,0.6756935119628906
237,clothes,fabric,N,5.87,4.76,4.63,3,0.96,1,1.66,0.7918158769607544
238,sweater,jacket,N,7.15,4.78,4.86,4,0.96,1,1.13,0.8427040576934814
239,money,capital,N,6.67,4.54,4.1,3,0.95,1,0.97,0.6995872259140015
240,hand,foot,N,4.17,4.72,4.9,4,0.95,1,1.41,0.7483123540878296
241,alcohol,cocktail,N,6.73,4.76,4.4,3,0.93,1,1.2,0.7801988124847412
242,yard,inch,N,3.78,4.82,4.37,3,0.93,1,1.4,0.7684221267700195
243,molecule,atom,N,6.45,3.27,3.34,2,0.92,1,1.56,0.87018221616745
244,lens,camera,N,4.28,4.64,5.0,4,0.9,1,1.89,0.7885627150535583
245,meal,dinner,N,7.15,4.62,4.5,3,0.88,1,2.0,0.8062565922737122
246,eye,tear,N,3.55,4.9,4.56,3,0.88,1,1.48,0.7598239183425903
247,god,devil,N,1.8,2.07,3.41,2,0.87,1,1.1,0.71132493019104
248,loop,belt,N,3.1,4.26,4.9,3,0.87,1,1.74,0.7662408947944641
249,rat,mouse,N,7.78,4.85,4.83,4,0.87,1,0.93,0.8272565007209778
250,motor,engine,N,8.65,4.84,4.86,4,0.87,1,1.47,0.8561370968818665
251,car,cab,N,7.42,4.89,4.88,4,0.87,1,1.15,0.6489848494529724
252,cat,lion,N,6.75,4.86,4.96,4,0.85,1,0.84,0.8084374666213989
253,size,magnitude,N,6.33,3.13,2.43,2,0.84,1,0.59,0.8325804471969604
254,reality,fantasy,N,1.03,1.72,1.59,1,0.83,1,0.89,0.7198966145515442
255,door,gate,N,5.25,4.81,4.96,4,0.83,1,1.47,0.8329916000366211
256,cat,pet,N,5.95,4.86,4.71,4,0.82,1,1.41,0.7770114541053772
257,tin,aluminum,N,6.42,4.87,4.88,4,0.82,1,1.3,0.602607250213623
258,bone,jaw,N,4.17,4.9,4.87,4,0.82,1,0.44,0.7943688035011292
259,cereal,wheat,N,3.75,4.83,4.89,4,0.81,1,1.72,0.7849588990211487
260,house,key,N,1.9,5.0,4.89,4,0.8,1,1.09,0.5240346789360046
261,blood,flesh,N,4.28,4.86,4.59,3,0.79,1,1.74,0.6957517266273499
262,door,corridor,N,3.73,4.81,4.72,4,0.79,1,1.11,0.714356005191803
263,god,spirit,N,7.3,2.07,1.6,1,0.77,1,1.63,0.5308778882026672
264,capability,competence,N,7.62,1.93,1.78,1,0.77,1,0.84,0.8520354628562927
265,abundance,plenty,N,8.97,2.21,2.39,1,0.77,1,1.02,0.8010765910148621
266,sofa,chair,N,6.67,4.9,4.58,4,0.77,1,1.56,0.8305188417434692
267,wall,brick,N,4.68,4.86,4.83,4,0.77,1,1.16,0.6728101968765259
268,horn,drum,N,2.68,5.0,4.96,4,0.77,1,0.47,0.6656824350357056
269,organ,liver,N,6.15,4.77,4.68,3,0.76,1,1.12,0.6754433512687683
270,strength,might,N,7.07,2.96,2.32,2,0.74,1,0.8,0.6653278470039368
271,phrase,word,N,5.48,2.86,3.56,2,0.74,1,1.73,0.8408960103988647
272,band,parade,N,3.92,4.68,4.54,3,0.74,1,1.74,0.7011609673500061
273,stomach,waist,N,5.9,4.89,4.72,4,0.74,1,1.49,0.7985552549362183
274,cloud,storm,N,5.6,4.54,4.7,3,0.73,1,1.47,0.7918822169303894
275,joy,pride,N,5.0,2.37,1.66,1,0.72,1,0.9,0.7342641949653625
276,noise,rattle,N,6.17,3.52,4.07,3,0.72,1,1.33,0.7249862551689148
277,rain,mist,N,5.97,4.97,4.51,4,0.71,1,1.83,0.7219520211219788
278,beer,beverage,N,5.42,4.88,4.6,4,0.71,1,1.34,0.8109655976295471
279,man,uncle,N,3.92,4.79,4.24,3,0.7,1,1.36,0.7307618260383606
280,apple,juice,N,2.88,5.0,4.89,4,0.7,1,1.65,0.7749673128128052
281,intelligence,logic,N,6.5,2.24,1.72,1,0.68,1,1.2,0.698716402053833
282,communication,language,N,7.47,2.9,2.35,2,0.68,1,1.09,0.6840477585792542
283,mink,fur,N,6.83,4.58,4.69,3,0.68,1,0.39,0.37041184306144714
284,mob,crowd,N,7.85,3.88,4.52,3,0.67,1,1.2,0.8467277884483337
285,shore,coast,N,8.83,4.79,4.21,3,0.67,1,1.53,0.628192126750946
286,wire,cord,N,7.62,4.72,4.63,3,0.67,1,1.35,0.6778845191001892
287,bird,turkey,N,6.58,5.0,4.89,4,0.67,1,1.6,0.5882980227470398
288,bed,crib,N,7.3,5.0,4.86,4,0.65,1,1.56,0.3598180413246155
289,competence,ability,N,7.5,1.78,1.81,1,0.63,1,0.6,0.8200028538703918
290,cloud,haze,N,7.32,4.54,4.04,3,0.63,1,1.68,0.8238382339477539
291,supper,meal,N,7.53,4.63,4.62,3,0.63,1,0.47,0.622072696685791
292,bar,cage,N,2.8,4.67,5.0,4,0.63,1,0.51,0.6144477128982544
293,water,salt,N,1.3,5.0,4.89,4,0.63,1,0.94,0.751899242401123
294,sense,intuition,N,7.68,2.61,1.67,1,0.62,1,1.24,0.7460752129554749
295,situation,condition,N,6.58,2.03,2.15,1,0.61,1,1.41,0.7403454780578613
296,crime,theft,N,7.53,3.03,2.93,2,0.61,1,1.32,0.8234633803367615
297,style,fashion,N,8.5,2.67,3.43,2,0.61,1,0.87,0.8429130911827087
298,boundary,border,N,9.08,3.04,4.29,2,0.61,1,0.44,0.769033670425415
299,arm,body,N,4.05,4.96,4.79,4,0.61,1,0.51,0.7635897397994995
300,boat,car,N,2.37,4.93,4.89,4,0.61,1,1.17,0.7462174296379089
301,sandwich,lunch,N,6.3,4.9,4.31,3,0.58,1,1.53,0.6976650357246399
302,bride,princess,N,2.8,4.63,4.72,3,0.58,1,0.92,0.8096742033958435
303,heroine,hero,N,8.78,4.21,3.07,2,0.56,1,1.79,0.8603384494781494
304,car,gauge,N,1.13,4.89,4.0,3,0.56,1,1.47,0.5917112231254578
305,insect,bee,N,6.07,4.89,4.88,4,0.55,1,1.34,0.7374511361122131
306,crib,cradle,N,8.55,4.86,4.93,4,0.55,1,1.15,0.29894202947616577
307,animal,person,N,3.05,4.61,4.72,3,0.54,1,1.38,0.7345780730247498
308,marijuana,herb,N,6.5,4.89,4.57,3,0.54,1,0.59,0.714504599571228
309,bed,hospital,N,0.92,5.0,4.64,4,0.54,1,1.35,0.6900737285614014
310,cheek,tongue,N,4.52,4.83,4.93,4,0.54,1,0.47,0.7408292889595032
311,disc,computer,N,3.2,4.85,4.93,4,0.54,1,0.44,0.5654858350753784
312,curve,angle,N,3.33,4.41,3.5,3,0.53,1,1.51,0.7289693355560303
313,grass,moss,N,5.0,4.93,4.9,4,0.53,1,1.27,0.7305210828781128
314,school,law,N,1.13,4.79,2.57,2,0.52,1,1.49,0.5655030608177185
315,foot,head,N,2.3,4.9,4.75,4,0.52,1,0.62,0.7942728400230408
316,mother,guardian,N,6.5,4.6,3.28,3,0.51,1,1.13,0.683280348777771
317,orthodontist,dentist,N,8.27,4.43,4.93,3,0.51,1,1.47,0.26375311613082886
318,alcohol,whiskey,N,7.27,4.76,4.74,4,0.51,1,1.19,0.8515146374702454
319,mouth,tooth,N,6.3,4.74,4.89,4,0.51,1,1.39,0.6077349185943604
